Timestamp	Latin name of a given species	Sequence name (from NCBI or other sources)	Sequence Accession Number from NCBI	Type of a given sequence	GO - Molecular Function (from Uniprot)	GO - Biological process (from Uniprot)	Special Note	Sequence Accession Number from other source	Choose alternative Source of Sequence Accession Number	Who typed in the data	
3/18/2015 10:53:09	Bombyx mori	ADP/ATP translocase	NP_001037072	protein	transporter activity	transmembrane transport					Nikola Krivokuca
1/10/2015 8:55:52	Bombyx mori	aliphatic nitrilase mRNA	GU354318	mRNA	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	nitrogen compound metabolic process					Nikola Krivokuca
1/10/2015 8:59:17	Bombyx mori	AMP-activated protein kinase	NP_001093315	protein	AMP-activated protein kinase activity; ATP binding	NaN					Nikola Krivokuca
3/21/2015 20:25:59	Bombyx mori	antennal binding protein precursor	NP_001106744	protein	odorant binding	NaN					Nikola Krivokuca
3/21/2015 20:27:34	Bombyx mori	antitrypsin isoform 1 precursor	NP_001037305 	protein	serine-type endopeptidase inhibitor activity	negative regulation of peptidase activity					Nikola Krivokuca
1/9/2015 21:55:04	Bombyx mori	aquaporin (aqp) mRNA	NM_001043454	mRNA	transporter activity	NaN					Nikola Krivokuca
3/18/2015 21:53:37	Bombyx mori	arginine kinase	NP_001037402 	protein	ATP binding; kinase activity	phosphorylation					Nikola Krivokuca
1/10/2015 9:05:00	Bombyx mori	ARP1 actin-related protein 1-like protein A	NP_001040336	protein	ATP binding	NaN					Nikola Krivokuca
3/18/2015 21:55:06	Bombyx mori	ATP synthase	NP_001040233	protein	ATP binding; proton-transporting ATPase activity; proton-transporting ATPase activity, rotational mechanism; proton-transporting ATP synthase activity, rotational mechanism	ATP hydrolysis coupled proton transport; ATP synthesis coupled proton transport					Nikola Krivokuca
3/21/2015 20:28:40	Bombyx mori	aubergine protein	NP_001098066	protein	nucleic acid binding	NaN					Nikola Krivokuca
1/10/2015 9:06:51	Bombyx mori	BCP inhibitor precursor	NP_001037057	protein	cysteine-type peptidase activity	NaN					Nikola Krivokuca
3/21/2015 20:30:20	Bombyx mori	beta-tubulin	NP_001036964	protein	GTPase activity; GTP binding; structural constituent of cytoskeleton	GTP catabolic process; microtubule-based process; protein polymerization					Nikola Krivokuca
3/21/2015 20:31:30	Bombyx mori	beta-tubulin	NP_001036888	protein	GTPase activity; GTP binding; structural constituent of cytoskeleton	GTP catabolic process; microtubule-based process; protein polymerization					Nikola Krivokuca
1/8/2015 21:43:17	Bombyx mori	BmEts mRNA for transcription factor BmEts	AB115082	mRNA	sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity	regulation of transcription, DNA-templated					Nikola Krivokuca
12/30/2014 23:47:55	Bombyx mori	BmHsp70 mRNA for HSP70	AB035326	mRNA	ATP binding	NaN					Nikola Krivokuca
3/28/2015 11:07:05	Bombyx mori	BmK5 mRNA for possible precursor of neuropeptides	AB162718	mRNA	NaN	NaN	GO - Cellular component - cytoplasm; extracellular region				
1/25/2015 0:20:54	Bombyx mori	BmSDH-2 mRNA for sorbitol dehydrogenase-2	AB164059	mRNA	L-iditol 2-dehydrogenase activity; zinc ion binding	oxidation-reduction process					Nikola Krivokuca
6/13/2015 19:16:56	Bombyx mori	BmTret1 mRNA for trehalose transporter BmTRET1	AB369550	mRNA	trehalose transmembrane transporter activity	trehalose transport					
3/22/2015 10:08:44	Bombyx mori	BWK-1-like protein	NP_001040311	protein	NaN	NaN					Nikola Krivokuca
1/10/2015 9:08:39	Bombyx mori	calcineurin A	NP_001037025	protein	phosphoprotein phosphatase activity	NaN					Nikola Krivokuca
3/22/2015 10:10:42	Bombyx mori	calreticulin precursor	NP_001037075	protein	calcium ion binding; carbohydrate binding	protein folding					Nikola Krivokuca
3/27/2015 12:54:58	Bombyx mori	cAMP response element binding protein 1 (CREB1) mRNA	EF682068	mRNA	sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity	regulation of transcription, DNA-templated					
3/27/2015 12:57:46	Bombyx mori	cAMP response element binding protein 2 (CREB2) mRNA	EF682069	mRNA	NaN	regulation of transcription, DNA-templated					
3/27/2015 12:59:54	Bombyx mori	cAMP response element binding protein 3 (CREB3) mRNA	EF682070	mRNA	sequence-specific DNA binding; sequence-specific DNA binding transcription factor activity	regulation of transcription, DNA-templated					
3/22/2015 10:12:10	Bombyx mori	carotenoid-binding protein isoform 1	NP_001036998	protein	lipid binding	NaN					Nikola Krivokuca
3/22/2015 10:27:53	Bombyx mori	cationic peptide CP8 precursor	NP_001037081	protein	NaN	NaN					Nikola Krivokuca
3/22/2015 10:13:59	Bombyx mori	cellular retinoic acid binding protein	NP_001037364	protein	lipid binding; transporter activity	transport					Nikola Krivokuca
3/22/2015 10:17:21	Bombyx mori	chaperonin	NP_001073348	protein	ATP binding; unfolded protein binding	protein folding					Nikola Krivokuca
3/22/2015 10:19:04	Bombyx mori	chaperonin containing t-complex polypeptide 1 beta subunit	NP_001040109	protein	ATP binding; unfolded protein binding	protein folding					Nikola Krivokuca
3/22/2015 10:20:21	Bombyx mori	chaperonin subunit 4 delta	NP_001040107	protein	ATP binding; unfolded protein binding	protein folding					Nikola Krivokuca
3/22/2015 10:21:33	Bombyx mori	chaperonin subunit 6a zeta	NP_001040108	protein	ATP binding; unfolded protein binding	protein folding					Nikola Krivokuca
3/22/2015 10:22:35	Bombyx mori	chemosensory protein 7 precursor	NP_001037068	protein	NaN	NaN					Nikola Krivokuca
1/10/2015 9:23:29	Bombyx mori	chemosensory protein 8 precursor	NP_001037067	protein	NaN	NaN					Nikola Krivokuca
1/4/2015 12:33:59	Bombyx mori	chitinase domain-containing protein 1-like	XP_004931749	protein	hydrolase activity, hydrolyzing O-glycosyl compounds	carbohydrate metabolic process					Nikola Krivokuca
3/31/2015 9:58:06	Bombyx mori	Chorion class A protein L12	P08825	protein	structural constituent of chorion	chorion-containing eggshell formation; multicellular organismal development					
3/22/2015 10:23:48	Bombyx mori	chymotrypsin inhibitor SCI-II precursor	NP_001119717	protein	serine-type endopeptidase inhibitor activity	negative regulation of endopeptidase activity					Nikola Krivokuca
1/10/2015 9:29:26	Bombyx mori	clip domain serine protease 11 precursor	NP_001037053	protein	serine-type endopeptidase activity	NaN					Nikola Krivokuca
3/14/2015 11:40:13	Bombyx mori	cuticular protein RR-1 motif 41 (CPR41), mRNA	NM_001044025	mRNA	structural constituent of cuticle	NaN					Nikola Krivokuca
1/9/2015 22:16:20	Bombyx mori	cytochrome b5 (LOC100127129) mRNA	NM_001112760	mRNA	heme binding; metal ion binding	NaN					Nikola Krivokuca
1/10/2015 9:15:38	Bombyx mori	cytochrome P450 CYP6AE7	NP_001104006	protein	heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	NaN					Nikola Krivokuca
1/10/2015 9:14:27	Bombyx mori	cytochrome P450 CYP6AE9	NP_001104004	protein	heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	NaN					Nikola Krivokuca
3/16/2015 11:52:42	Bombyx mori	cytosolic malate dehydrogenase	NP_001040257	protein	L-malate dehydrogenase activity	cellular carbohydrate metabolic process; malate metabolic process; tricarboxylic acid cycle					Nikola Krivokuca
3/16/2015 11:50:17	Bombyx mori	diapause bioclock protein	ABL63514	protein	metal ion binding; superoxide dismutase activity	NaN					Nikola Krivokuca
6/14/2015 10:18:08	Bombyx mori	dicer-2 (dcr-2), mRNA	NM_001193614	mRNA	ATP binding; DNA binding; ribonuclease III activity; RNA binding	RNA processing; rRNA catabolic process					
1/12/2015 8:10:45	Bombyx mori	DNA topoisomerase 2	NP_001037009	protein	ATP binding; DNA binding; DNA topoisomerase type II (ATP-hydrolyzing) activity; metal ion binding	DNA topological change					Nikola Krivokuca
1/9/2015 22:14:16	Bombyx mori	DnaJ (Hsp40) homolog 5 (DnaJ-5) mRNA	NM_001043525	mRNA	protein folding	NaN					Nikola Krivokuca
6/13/2015 17:02:35	Bombyx mori	dopa decarboxylase (LOC692675), mRNA	NM_001043709	mRNA	carboxy-lyase activity; pyridoxal phosphate binding; catalytic activity; lyase activity	cellular amino acid metabolic process; carboxylic acid metabolic process					
3/22/2015 10:30:13	Bombyx mori	dynactin 4 protein	NP_001040117	protein	NaN	NaN					Nikola Krivokuca
3/21/2015 10:56:36	Bombyx mori	ecdysteroid 22-kinase	NP_001038956	protein	transferase activity, transferring phosphorus-containing groups	metabolic process					Nikola Krivokuca
3/22/2015 10:32:32	Bombyx mori	Ef1alpha-like factor isoform 1	NP_001040118	protein	GTPase activity; GTP binding; translation elongation factor activity; translation release factor activity	translational elongation; translational termination					Nikola Krivokuca
3/16/2015 11:53:44	Bombyx mori	egg protein 80 gene	HM012804	DNA	NaN	NaN					Nikola Krivokuca
3/17/2015 14:45:19	Bombyx mori	egg-specific protein precursor	NP_001119718	protein	NaN	lipid metabolic process					Nikola Krivokuca
3/22/2015 10:35:04	Bombyx mori	elongation factor 1 gamma	NP_001036852	protein	translation elongation factor activity	translational elongation					Nikola Krivokuca
3/22/2015 10:33:56	Bombyx mori	elongation factor 1-beta	NP_001037556	protein	translation elongation factor activity	translational elongation					Nikola Krivokuca
3/29/2015 16:48:11	Bombyx mori	ERK mRNA for Extracellular regulated MAP kinase	AB183869	mRNA	ATP binding; MAP kinase activity	MAPK cascade; protein phosphorylation					
3/22/2015 10:36:21	Bombyx mori	eukaryotic translation initiation factor 3 subunit E	NP_001037404	protein	translation initiation factor activity	formation of translation preinitiation complex; regulation of translational initiation					Nikola Krivokuca
1/10/2015 9:18:23	Bombyx mori	eukaryotic translation initiation factor 3 subunit K	NP_001040534	protein	ribosome binding; translation initiation factor activity	formation of translation preinitiation complex; regulation of translational initiation					Nikola Krivokuca
3/29/2015 17:00:35	Bombyx mori	extracellular regulated MAP kinase	NP_001036921	protein	ATP binding; MAP kinase activity	MAPK cascade; protein phosphorylation					
3/22/2015 10:37:29	Bombyx mori	exuperantia	NP_001040124	protein	nucleic acid binding	NaN					Nikola Krivokuca
3/22/2015 10:39:37	Bombyx mori	ferritin precursor	NP_001037580	protein	ferric iron binding; ferroxidase activity	cellular iron ion homeostasis; iron ion transport; oxidation-reduction process					Nikola Krivokuca
3/21/2015 10:58:47	Bombyx mori	fibroinase precursor	NP_001037464 	protein	cysteine-type peptidase activity	proteolysis					Nikola Krivokuca
1/10/2015 9:20:55	Bombyx mori	FK506-binding protein precursor	NP_001108408	protein	NaN	NaN					Nikola Krivokuca
3/21/2015 11:02:09	Bombyx mori	fructose 1,6-bisphosphate aldolase	NP_001091766	protein	fructose-bisphosphate aldolase activity	glycolytic process					Nikola Krivokuca
3/21/2015 11:00:36	Bombyx mori	fumarylacetoacetase	NP_001040300	protein	fumarylacetoacetase activity	aromatic amino acid family metabolic process					Nikola Krivokuca
6/14/2015 10:11:50	Bombyx mori	galactokinase-like (LOC101735679), transcript variant X2, mRNA	XM_004921944	mRNA	NaN	NaN					
3/30/2015 14:50:58	Bombyx mori	gamma-glutamyltransferase mRNA	GU270851	mRNA	gamma-glutamyltransferase activity	glutathione metabolic process					
1/8/2015 21:32:11	Bombyx mori	gene for diapause hormone precursor	D16230	DNA	myostimulatory hormone activity; neuropeptide hormone activity	neuropeptide signaling pathway; pheromone biosynthetic process					Nikola Krivokuca
1/3/2015 12:26:12	Bombyx mori	GK-3 mRNA for glycerol kinase-3	AB250689	mRNA	glycerol kinase activity	carbohydrate metabolic process					Nikola Krivokuca
6/13/2015 18:59:21	Bombyx mori	glucose-6-phosphate 1-dehydrogenase (LOC101746394), mRNA	XM_004929180	mRNA	glucose-6-phosphate dehydrogenase activity; NADP binding	glucose metabolic process; pentose-phosphate shunt		fcaL-P16_F_O12	Silk Base		
1/5/2015 18:41:00	Bombyx mori	glucose-6-phosphate 1-dehydrogenase-like	XP_004929237	protein	glucose-6-phosphate dehydrogenase activity; NADP binding	glucose metabolic process; pentose-phosphate shunt					Nikola Krivokuca
3/21/2015 11:03:44	Bombyx mori	glucose-6-phosphate isomerase	NP_001091761	protein	glucose-6-phosphate isomerase activity	gluconeogenesis; glycolytic process					Nikola Krivokuca
3/21/2015 11:05:11	Bombyx mori	glutamate dehydrogenase	NP_001040245	protein	oxidoreductase activity	cellular amino acid metabolic process					Nikola Krivokuca
3/21/2015 11:09:28	Bombyx mori	glutathione S-transferase delta 2	NP_001036974	protein	transferase activity	metabolic process					Nikola Krivokuca
3/13/2015 11:21:46	Bombyx mori	glutathione S-transferase omega 3	NP_001040435	protein	glutathione transferase activity	NaN					Nikola Krivokuca
3/21/2015 11:11:13	Bombyx mori	glutathione S-transferase sigma 2	NP_001036994	protein	transferase activity	metabolic process					Nikola Krivokuca
1/5/2015 18:40:29	Bombyx mori	glycogen phosphorylase (Glyp), mRNA	NM_001123339	mRNA	glycogen phosphorylase activity; pyridoxal phosphate binding	carbohydrate metabolic process					Nikola Krivokuca
6/13/2015 17:43:33	Bombyx mori	glycogen phosphorylase (GPase)	BP183207	EST	NaN	NaN		NRPG1576	Silk Base		
3/23/2015 8:04:29	Bombyx mori	GTP binding protein	NP_001040339	protein	ATPase activity; ATP binding; GTP binding; ribosomal large subunit binding; ribosome binding	metabolic process					Nikola Krivokuca
3/22/2015 10:42:13	Bombyx mori	GTP-binding nuclear protein Ran	NP_001040274	protein	GTPase activity; GTP binding	GTP catabolic process; intracellular protein transport; nucleocytoplasmic transport; small GTPase mediated signal transduction					Nikola Krivokuca
3/23/2015 8:06:38	Bombyx mori	GTP-binding protein RAB2	NP_001037612 	protein	GTP binding	protein transport; small GTPase mediated signal transduction					Nikola Krivokuca
3/21/2015 11:13:45	Bombyx mori	H+ transporting ATP synthase beta subunit isoform 1	NP_001040450	protein	ATP binding; proton-transporting ATP synthase activity, rotational mechanism	ATP hydrolysis coupled proton transport; ATP synthesis coupled proton transport					Nikola Krivokuca
3/21/2015 11:17:46	Bombyx mori	H+ transporting ATP synthase O subunit isoform 1	NP_001040526	protein	proton-transporting ATP synthase activity, rotational mechanism	ATP synthesis coupled proton transport					Nikola Krivokuca
3/21/2015 11:15:12	Bombyx mori	H+ transporting ATP synthase subunit d	NP_001093279	protein	hydrogen ion transmembrane transporter activity	ATP synthesis coupled proton transport					Nikola Krivokuca
3/21/2015 11:16:31	Bombyx mori	H+ transporting ATP synthase subunit g	NP_001040398	protein	hydrogen ion transmembrane transporter activity	ATP synthesis coupled proton transport					Nikola Krivokuca
3/23/2015 8:08:27	Bombyx mori	H2A histone family member V	NP_001040529	protein	DNA binding; protein heterodimerization activity	NaN					Nikola Krivokuca
1/4/2015 12:12:35	Bombyx mori	heat shock cognate protein	NP_001036892	protein	ATP binding	Stress response					Nikola Krivokuca
3/17/2015 15:02:30	Bombyx mori	heat shock protein 20.4	NP_001037038 	protein	NaN	Stress response					Nikola Krivokuca
3/17/2015 15:09:36	Bombyx mori	heat shock protein 70	NP_001037396	protein	ATP binding	Stress response					Nikola Krivokuca
3/24/2015 11:07:55	Bombyx mori	heat shock protein 70 mRNA	DQ311189	mRNA	ATP binding	NaN					Nikola Krivokuca
3/17/2015 14:57:16	Bombyx mori	heat shock protein 83	NP_001036876	protein	ATP binding	protein folding; response to stress					Nikola Krivokuca
3/17/2015 15:04:58	Bombyx mori	heat shock protein hsp 19.9	NP_001036984	protein	NaN	Stress response					Nikola Krivokuca
3/17/2015 15:03:36	Bombyx mori	heat shock protein hsp20.1	NP_001036941	protein	NaN	Stress response					Nikola Krivokuca
1/5/2015 19:05:11	Bombyx mori	heat shock protein hsp20.4 (Hsp20.4) mRNA	AF315318	mRNA	NaN	stress response					Nikola Krivokuca
1/26/2015 1:07:49	Bombyx mori	heat shock protein hsp20.8 (Hsp20.8) mRNA	AF315317	mRNA	NaN	NaN					Nikola Krivokuca
3/17/2015 15:00:32	Bombyx mori	heat shock protein hsp20.8	NP_001091794	protein	NaN	Stress response					Nikola Krivokuca
3/17/2015 15:07:04	Bombyx mori	heat shock protein hsp21.4	NP_001036985	protein	NaN	Stress response					Nikola Krivokuca
3/17/2015 15:06:06	Bombyx mori	heat shock protein hsp23.7 precursor	NP_001036942	protein	NaN	Stress response					Nikola Krivokuca
1/2/2015 23:35:39	Bombyx mori	HSFd mRNA for heat shock factor-d	AB623244	mRNA	sequence-specific DNA binding	regulation of transcription from RNA polymerase II promoter					Nikola Krivokuca
1/5/2015 19:02:56	Bombyx mori	hsp90 mRNA for 90-kDa heat shock protein	AB060275	mRNA	ATP binding	protein folding; response to stress					Nikola Krivokuca
3/21/2015 11:19:54	Bombyx mori	hydroxyacyl-coenzyme A dehydrogenase	NP_001040132	protein	3-hydroxyacyl-CoA dehydrogenase activity; coenzyme binding; enoyl-CoA hydratase activity	fatty acid beta-oxidation					Nikola Krivokuca
3/23/2015 8:12:37	Bombyx mori	insulin-related peptide binding protein precursor	NP_001040473	protein	NaN	NaN					Nikola Krivokuca
3/21/2015 11:24:56	Bombyx mori	isocitrate dehydrogenase	NP_001040134	protein	isocitrate dehydrogenase (NADP+) activity; magnesium ion binding; NAD binding	isocitrate metabolic process; tricarboxylic acid cycle					Nikola Krivokuca
3/30/2015 14:48:34	Bombyx mori	isocitrate dehydrogenase mRNA	GU270852	mRNA	isocitrate dehydrogenase (NAD+) activity; magnesium ion binding; NAD binding	tricarboxylic acid cycle					
3/23/2015 8:10:11	Bombyx mori	juvenile hormone binding protein e96h-0303 precursor	NP_001036949	protein	NaN	NaN					Nikola Krivokuca
1/9/2015 21:27:59	Bombyx mori	juvenile hormone epoxide hydrolase-like protein 4 (Jheh-lp4) mRNA	NM_001166148	mRNA	cis-stilbene-oxide hydrolase activity	NaN					Nikola Krivokuca
3/23/2015 8:13:51	Bombyx mori	karyopherin alpha 3	NP_001040340	protein	protein transporter activity	protein import into nucleus					Nikola Krivokuca
3/23/2015 8:15:25	Bombyx mori	kazal-type proteinase inhibitor precursor	NP_001040250	protein	NaN	NaN					Nikola Krivokuca
3/23/2015 8:17:04	Bombyx mori	kinesin heavy chain	NP_001116822	protein	ATP binding; microtubule motor activity	microtubule-based movement; metabolic process					Nikola Krivokuca
3/14/2015 11:15:21	Bombyx mori	Kruppel homolog 1 (Kr-h1)	NM_001177861	mRNA	metal ion binding	NaN					Nikola Krivokuca
3/17/2015 14:47:53	Bombyx mori	low molecular 30 kDa lipoprotein PBMHP-12 precursor	NP_001095196	protein	NaN	NaN	GO - Cellular component - extracellular spac				Nikola Krivokuca
3/17/2015 14:51:29	Bombyx mori	low molecular 30 kDa lipoprotein PBMHP-6 precursor	NP_001037486 	protein	NaN	NaN	GO - Cellular component - extracellular spac				Nikola Krivokuca
3/17/2015 14:49:31	Bombyx mori	low molecular 30 kDa lipoprotein PBMHPC-23 precursor	NP_001095198	protein	NaN	NaN	GO - Cellular component - extracellular region				Nikola Krivokuca
3/23/2015 8:18:19	Bombyx mori	LRP16 protein	NP_001040417	protein	NaN	NaN					Nikola Krivokuca
3/21/2015 11:26:00	Bombyx mori	lysosomal thiol reductase IP30 isoform 1 precursor	NP_001040197	protein	NaN	NaN					Nikola Krivokuca
1/10/2015 9:30:25	Bombyx mori	MAP kinse-ERK kinase	NP_001036922	protein	ATP binding; protein serine/threonine kinase activity	NaN					Nikola Krivokuca
3/29/2015 17:00:40	Bombyx mori	MAP kinse-ERK kinase	NP_001036922	protein	ATP binding; protein serine/threonine kinase activity	protein phosphorylation					
3/29/2015 16:49:57	Bombyx mori	MEK mRNA for MAP kinse-ERK kinase	AB183870	mRNA	ATP binding; protein serine/threonine kinase activity	protein phosphorylation					
3/14/2015 11:24:07	Bombyx mori	methyltransferase (LOC100101163), mRNA	NM_001099619	mRNA	methyltransferase activity; nucleic acid binding	NaN					Nikola Krivokuca
3/21/2015 11:28:05	Bombyx mori	mitochondrial aldehyde dehydrogenase	NP_001040198	protein	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	oxidation-reduction process					Nikola Krivokuca
3/21/2015 11:30:28	Bombyx mori	mitochondrial aldehyde dehydrogenase	NP_001040475	protein	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	oxidation-reduction process					Nikola Krivokuca
3/23/2015 8:20:01	Bombyx mori	mitochondrial matrix protein p33	NP_001040258	protein	NaN	NaN	GO - Cellular component - mitochondrial matrix				Nikola Krivokuca
3/21/2015 11:32:58	Bombyx mori	Mn superoxide dismutase	NP_001037299 	protein	metal ion binding; superoxide dismutase activity	removal of superoxide radicals; oxidation-reduction process					Nikola Krivokuca
6/14/2015 9:59:31	Bombyx mori	mRNA for BmRelish1	AB298441	mRNA	sequence-specific DNA binding transcription factor activity	regulation of transcription, DNA-templated					
1/5/2015 18:39:36	Bombyx mori	mRNA for Hsp40	AB206400	mRNA	protein folding	NaN					Nikola Krivokuca
1/3/2015 13:20:50	Bombyx mori	mRNA for mammalian sorbitol dehydrogenase homolog	D13371	mRNA	L-iditol 2-dehydrogenase activity; zinc ion binding	NaN					Nikola Krivokuca
1/5/2015 18:38:46	Bombyx mori	mRNA for trehalase	D13763	mRNA	alpha,alpha-trehalase activity	trehalose metabolic process					Nikola Krivokuca
1/10/2015 9:31:58	Bombyx mori	neutral endopeptidase 24.11	NP_001036959	protein	metalloendopeptidase activity	NaN					Nikola Krivokuca
3/23/2015 8:22:11	Bombyx mori	nuclear migration protein nudC	NP_001040262	protein	NaN	NaN					Nikola Krivokuca
3/23/2015 8:23:26	Bombyx mori	nucleosome assembly protein isoform 2	NP_001040201	protein	NaN	nucleosome assembly					Nikola Krivokuca
1/10/2015 9:33:01	Bombyx mori	olfactory receptor-like	NP_001116817	protein	G-protein coupled receptor activity; odorant binding; olfactory receptor activity	NaN					Nikola Krivokuca
3/31/2015 9:55:44	Bombyx mori	osiris 20	NP_001129359	protein	NaN	NaN					
1/7/2015 22:43:57	Bombyx mori	oxygen resistance gene 1 (oxr1) mRNA	NM_001145655	mRNA	NaN	NaN					Nikola Krivokuca
3/29/2015 17:00:41	Bombyx mori	p38 map kinase	NP_001036996	protein	ATP binding; MAP kinase activity	MAPK cascade; protein phosphorylation					
3/29/2015 16:51:14	Bombyx mori	p38 MAPK mRNA for p38 map kinase	AB208585	mRNA	ATP binding; MAP kinase activity	MAPK cascade; protein phosphorylation					
1/12/2015 7:57:23	Bombyx mori	paralytic peptide binding protein 1	NP_001037394 	protein	NaN	NaN	GO - Cellular component - extracellular region				Nikola Krivokuca
3/14/2015 10:48:35	Bombyx mori	paralytic peptide binding protein 2	NM_001134914	mRNA	NaN	NaN	GO - Cellular component - extracellular region				Nikola Krivokuca
3/21/2015 11:34:40	Bombyx mori	peptidylprolyl isomerase B precursor	NP_001040479	protein	peptidyl-prolyl cis-trans isomerase activity	protein folding					Nikola Krivokuca
3/23/2015 8:26:03	Bombyx mori	perilipin	NP_001040143	protein	NaN	NaN					Nikola Krivokuca
6/14/2015 9:53:40	Bombyx mori	period mRNA	AY526605	mRNA	signal transducer activity	regulation of transcription, DNA-templated					
1/9/2015 22:03:28	Bombyx mori	phenol UDP-glucosyltransferase (UGT40A1) mRNA	NM_001043575	mRNA	transferase activity, transferring hexosyl groups	NaN					Nikola Krivokuca
3/21/2015 11:38:22	Bombyx mori	phenoloxidase subunit 1 precursor	NP_001037335 	protein	metal ion binding; monophenol monooxygenase activity	defense response; melanin biosynthetic process from tyrosine					Nikola Krivokuca
1/5/2015 18:27:51	Bombyx mori	phosphofructo kinase	AK378322	mRNA	NaN	NaN					Nikola Krivokuca
6/13/2015 17:33:54	Bombyx mori	phosphofructo kinase (PFK)	BP179383	EST	NaN	NaN		ovS302A08f	Silk Base		
3/30/2015 15:25:57	Bombyx mori	poly A binding protein (Pabp) mRNA	NM_001098353	mRNA	nucleotide binding; RNA binding	NaN					
3/23/2015 8:29:05	Bombyx mori	profilin	NP_001037108 	protein	actin binding	NaN	GO Cellular localization - cytoskeleton; cytoplasm				Nikola Krivokuca
3/23/2015 8:30:12	Bombyx mori	prohibitin protein WPH	NP_001040289	protein	NaN	NaN	GO - Cellular component - membrane				Nikola Krivokuca
3/21/2015 11:36:42	Bombyx mori	prophenoloxidase-2s	NP_001106218	protein	metal ion binding; oxidoreductase activity	oxidation-reduction process; metabolic process					Nikola Krivokuca
3/23/2015 20:22:48	Bombyx mori	proteasome 25 kDa subunit	NP_001040344	protein	threonine-type endopeptidase activity	ubiquitin-dependent protein catabolic process					Nikola Krivokuca
3/23/2015 20:24:02	Bombyx mori	proteasome 26S non-ATPase subunit 12	NP_001040208	protein	NaN	NaN	GO - Cellular component - proteasome comple				Nikola Krivokuca
3/23/2015 20:25:22	Bombyx mori	proteasome alpha 3 subunit	NP_001040387	protein	threonine-type endopeptidase activity	ubiquitin-dependent protein catabolic process					Nikola Krivokuca
3/23/2015 20:27:00	Bombyx mori	proteasome beta subunit	NP_001093092	protein	threonine-type endopeptidase activity	proteolysis involved in cellular protein catabolic process					Nikola Krivokuca
1/12/2015 8:00:20	Bombyx mori	proteasome subunit alpha type 6-A	NP_001040459	protein	threonine-type endopeptidase activity	ubiquitin-dependent protein catabolic process					Nikola Krivokuca
3/21/2015 11:39:50	Bombyx mori	protein disulfide isomerase precursor	NP_001037171 	protein	protein disulfide isomerase activity	cell redox homeostasis					Nikola Krivokuca
3/21/2015 11:41:11	Bombyx mori	protein disulfide-isomerase like protein ERp57 precursor	NP_001036997	protein	protein disulfide isomerase activity	cell redox homeostasis					Nikola Krivokuca
6/13/2015 19:48:55	Bombyx mori	putative paralytic peptide-binding protein mRNA	DQ306881	mRNA	NaN	NaN					
3/23/2015 20:29:51	Bombyx mori	Rab7	NP_001040368	protein	GTP binding	protein transport; small GTPase mediated signal transduction					Nikola Krivokuca
3/23/2015 20:28:30	Bombyx mori	ras small monomeric GTPase Rab6	NP_001040270	protein	GTP binding	protein transport; small GTPase mediated signal transduction					Nikola Krivokuca
3/23/2015 20:31:55	Bombyx mori	ras-related GTP-binding protein Rab11	NP_001037618 	protein	GTP binding	protein transport; small GTPase mediated signal transduction					Nikola Krivokuca
3/23/2015 20:31:58	Bombyx mori	ras-related GTP-binding protein Rab11	NP_001037618 	protein	GTP binding	protein transport; small GTPase mediated signal transduction					Nikola Krivokuca
3/14/2015 11:21:22	Bombyx mori	relish (Rel), transcript variant 2, mRNA	NM_001105234	mRNA	sequence-specific DNA binding transcription factor activity	NaN	GO - Cellular component -  nucleus				Nikola Krivokuca
3/18/2015 10:28:01	Bombyx mori	ribosomal protein L10A	NP_001037147 	protein	RNA binding; structural constituent of ribosome	translation					Nikola Krivokuca
3/18/2015 10:29:10	Bombyx mori	ribosomal protein L11	NP_001037215 	protein	structural constituent of ribosome						Nikola Krivokuca
1/25/2015 13:52:21	Bombyx mori	ribosomal protein L13	AY769282	mRNA	structural constituent of ribosome	translation					Nikola Krivokuca
3/18/2015 10:30:25	Bombyx mori	ribosomal protein L13	NP_001037153 	protein	structural constituent of ribosome	translation					Nikola Krivokuca
3/18/2015 10:31:27	Bombyx mori	ribosomal protein L13A	NP_001037156 	protein	structural constituent of ribosome	translation					Nikola Krivokuca
1/4/2015 11:59:35	Bombyx mori	ribosomal protein L14 (RpL14) mRNA	AY769284	mRNA	structural constituent of ribosome	translation					Nikola Krivokuca
3/18/2015 10:32:24	Bombyx mori	ribosomal protein L15	NP_001037162 	protein	structural constituent of ribosome	translation					Nikola Krivokuca
1/4/2015 11:51:19	Bombyx mori	ribosomal protein L18 (RpL18), mRNA	NM_001043752 	mRNA	structural constituent of ribosome	translation					Nikola Krivokuca
3/18/2015 10:35:22	Bombyx mori	ribosomal protein L19	NP_001037221 	protein	structural constituent of ribosome	translation					Nikola Krivokuca
3/18/2015 10:36:40	Bombyx mori	ribosomal protein L23A	NP_001037229 	protein	structural constituent of ribosome; nucleotide binding	translation					Nikola Krivokuca
